# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 10.1631 h/Mpc,
# number of wavenumbers equal to 683
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028187002106e-05       5.134213864334e+01 
       2.292365185914e-05       9.043656657954e+01 
       3.560832549324e-05       1.410510759123e+02 
       4.836876185646e-05       1.914086025447e+02 
       6.123835630108e-05       2.418044754574e+02 
       7.425131546071e-05       2.931805223138e+02 
       8.744295296919e-05       3.453827965977e+02 
       1.008499978355e-04       3.982560336107e+02 
       1.145109193037e-04       4.522747426239e+02 
       1.284662720590e-04       5.074020163822e+02 
       1.427590656520e-04       5.637904863887e+02 
       1.574351619752e-04       6.216413723434e+02 
       1.725437044906e-04       6.812769774395e+02 
       1.881375826268e-04       7.427140256344e+02 
       2.042739342471e-04       8.062878084348e+02 
       2.210146882521e-04       8.722029301385e+02 
       2.384271480672e-04       9.407197449698e+02 
       2.565846148204e-04       1.012157126779e+03 
       2.755670462133e-04       1.086760899980e+03 
       2.954617431696e-04       1.164914333761e+03 
       3.163640509975e-04       1.246929687389e+03 
       3.383780547031e-04       1.333240648435e+03 
       3.616172388935e-04       1.424259046017e+03 
       3.862050711657e-04       1.520448435424e+03 
       4.122754539007e-04       1.622302432229e+03 
       4.399729732252e-04       1.730358185875e+03 
       4.694528564040e-04       1.845183712386e+03 
       5.008805317599e-04       1.967374389949e+03 
       5.344306712418e-04       2.097558264315e+03 
       5.702855892334e-04       2.236376278987e+03 
       6.086328777704e-04       2.384478345546e+03 
       6.496621845998e-04       2.542504441271e+03 
       6.935610927835e-04       2.711074310730e+03 
       7.405101426825e-04       2.890751781085e+03 
       7.906771477440e-04       3.082039118037e+03 
       8.442110848006e-04       3.285332580576e+03 
       9.012359679171e-04       3.500930980036e+03 
       9.618452139520e-04       3.728964322138e+03 
       1.026097046882e-03       3.969428997379e+03 
       1.094011442350e-03       4.222144567598e+03 
       1.165568977005e-03       4.486761552850e+03 
       1.240711736179e-03       4.762782506882e+03 
       1.319346188038e-03       5.049510347628e+03 
       1.401347703473e-03       5.346250389852e+03 
       1.486566235361e-03       5.652114781729e+03 
       1.574832595798e-03       5.966190726867e+03 
       1.665964787679e-03       6.287527178886e+03 
       1.759773937711e-03       6.615144016734e+03 
       1.856069509817e-03       6.948116918657e+03 
       1.954663618432e-03       7.285529975751e+03 
       2.055374385730e-03       7.626448362494e+03 
       2.158028381591e-03       7.970104579595e+03 
       2.262462246377e-03       8.315691921394e+03 
       2.368523627926e-03       8.662532517716e+03 
       2.476071572266e-03       9.009945064863e+03 
       2.584976500291e-03       9.357382337271e+03 
       2.695119886550e-03       9.704297709762e+03 
       2.806393736634e-03       1.005020176385e+04 
       2.918699939699e-03       1.039468965337e+04 
       3.031949554449e-03       1.073741846550e+04 
       3.146062071337e-03       1.107801999103e+04 
       3.260964681089e-03       1.141620258880e+04 
       3.376591569730e-03       1.175169410622e+04 
       3.492883252786e-03       1.208430535616e+04 
       3.609785955802e-03       1.241381726354e+04 
       3.727251044378e-03       1.274002060009e+04 
       3.845234504212e-03       1.306283959699e+04 
       3.963696469795e-03       1.338207927979e+04 
       4.082600799322e-03       1.369763072942e+04 
       4.201914692691e-03       1.400942970087e+04 
       4.321608349160e-03       1.431735422675e+04 
       4.441654661156e-03       1.462137879633e+04 
       4.562028940790e-03       1.492140864520e+04 
       4.682708675795e-03       1.521737309970e+04 
       4.803673311824e-03       1.550923127336e+04 
       4.924904058282e-03       1.579701960345e+04 
       5.046383715132e-03       1.608066984188e+04 
       5.168096518348e-03       1.636019540310e+04 
       5.290028001935e-03       1.663558588515e+04 
       5.412164874655e-03       1.690676673481e+04 
       5.534494909806e-03       1.717380138756e+04 
       5.657006846578e-03       1.743670657190e+04 
       5.779690301692e-03       1.769542428303e+04 
       5.902535690156e-03       1.795002534169e+04 
       6.025534154132e-03       1.820046560343e+04 
       6.148677499006e-03       1.844684458339e+04 
       6.271958135861e-03       1.868902893469e+04 
       6.395369029669e-03       1.892721327279e+04 
       6.518903652550e-03       1.916124520482e+04 
       6.642555941581e-03       1.939124045420e+04 
       6.766320260651e-03       1.961726669530e+04 
       6.890191365931e-03       1.983932472139e+04 
       7.014164374592e-03       2.005734009050e+04 
       7.138234736422e-03       2.027149405026e+04 
       7.262398208048e-03       2.048164939477e+04 
       7.386650829493e-03       2.068689842124e+04 
       7.510988902837e-03       2.088934655613e+04 
       7.635408972773e-03       2.108799493845e+04 
       7.759907808866e-03       2.128287610477e+04 
       7.884482389341e-03       2.147385266147e+04 
       8.009129886277e-03       2.166121235095e+04 
       8.133847652045e-03       2.184497577804e+04 
       8.258633206883e-03       2.202494351862e+04 
       8.383484227510e-03       2.220133373056e+04 
       8.508398536668e-03       2.237408027334e+04 
       8.633374093513e-03       2.254331421843e+04 
       8.758408984784e-03       2.270903979815e+04 
       8.883501416669e-03       2.287126095801e+04 
       9.008649707317e-03       2.303005688525e+04 
       9.133852279928e-03       2.318534060824e+04 
       9.259107656384e-03       2.333722806428e+04 
       9.384414451364e-03       2.348568475506e+04 
       9.509771366904e-03       2.363091585388e+04 
       9.635177187369e-03       2.377277539484e+04 
       9.760630774803e-03       2.391135579826e+04 
       9.886131064612e-03       2.404673133765e+04 
       1.001167706158e-02       2.417896415270e+04 
       1.013726783616e-02       2.430788067825e+04 
       1.026290252103e-02       2.443373225506e+04 
       1.038858030795e-02       2.455633831967e+04 
       1.051430044474e-02       2.467612531342e+04 
       1.064006223257e-02       2.479275071053e+04 
       1.076586502341e-02       2.490629840361e+04 
       1.089170821761e-02       2.501684098176e+04 
       1.101759126176e-02       2.512443149685e+04 
       1.114351364656e-02       2.522942972203e+04 
       1.126947490498e-02       2.533119127141e+04 
       1.139547461042e-02       2.543008747479e+04 
       1.152151237509e-02       2.552612783331e+04 
       1.164758784848e-02       2.561936280287e+04 
       1.177370071589e-02       2.570980437417e+04 
       1.189985069711e-02       2.579748635785e+04 
       1.202603754520e-02       2.588247060823e+04 
       1.215226104531e-02       2.596470678594e+04 
       1.227852101363e-02       2.604429147702e+04 
       1.240481729637e-02       2.612124660612e+04 
       1.253114976884e-02       2.619557551542e+04 
       1.265751833462e-02       2.626730360129e+04 
       1.278392292474e-02       2.633651569839e+04 
       1.291036349692e-02       2.640316077997e+04 
       1.303684003495e-02       2.646731522814e+04 
       1.316335254800e-02       2.652899576815e+04 
       1.328990107007e-02       2.658821886035e+04 
       1.341648565946e-02       2.664507168459e+04 
       1.354310639827e-02       2.669958238327e+04 
       1.366976339194e-02       2.675169323264e+04 
       1.379645676889e-02       2.680150251707e+04 
       1.392318668007e-02       2.684893328855e+04 
       1.404995329869e-02       2.689414348971e+04 
       1.417675681991e-02       2.693708778089e+04 
       1.430359746054e-02       2.697542573641e+04 
       1.443047545882e-02       2.701275499822e+04 
       1.455739107419e-02       2.704895167829e+04 
       1.468434458717e-02       2.708297607445e+04 
       1.481133629912e-02       2.711490263129e+04 
       1.493836653216e-02       2.714471503893e+04 
       1.506543562907e-02       2.717243740533e+04 
       1.519254395319e-02       2.719926550107e+04 
       1.531969188837e-02       2.722296732172e+04 
       1.544687983893e-02       2.724482304736e+04 
       1.557410822965e-02       2.726511284243e+04 
       1.570137750580e-02       2.728319730875e+04 
       1.582868813311e-02       2.729844920053e+04 
       1.595604059789e-02       2.731190479189e+04 
       1.608343540703e-02       2.732430914590e+04 
       1.621087308815e-02       2.733345612630e+04 
       1.633835418963e-02       2.734393537180e+04 
       1.646587928083e-02       2.735044025286e+04 
       1.659344895211e-02       2.735506161977e+04 
       1.672106381510e-02       2.735779732560e+04 
       1.684872450281e-02       2.735858888498e+04 
       1.697643166983e-02       2.735794868830e+04 
       1.710418599256e-02       2.735573770938e+04 
       1.723198816942e-02       2.734884770406e+04 
       1.735983892110e-02       2.734307451361e+04 
       1.748773899082e-02       2.733603985619e+04 
       1.761568914457e-02       2.733068531107e+04 
       1.774369017147e-02       2.732012380275e+04 
       1.787174288403e-02       2.730834733109e+04 
       1.799984811848e-02       2.729501126902e+04 
       1.812800673512e-02       2.727783456101e+04 
       1.825621961868e-02       2.726056523788e+04 
       1.838448767868e-02       2.724247895697e+04 
       1.851281184986e-02       2.722294645321e+04 
       1.864119309253e-02       2.720186669520e+04 
       1.876963239306e-02       2.717939823677e+04 
       1.889813076428e-02       2.715451850185e+04 
       1.902668924593e-02       2.712932738797e+04 
       1.915530890521e-02       2.710279766400e+04 
       1.928399083719e-02       2.707818842988e+04 
       1.941273616539e-02       2.704885155227e+04 
       1.954154604228e-02       2.701765991015e+04 
       1.967042164986e-02       2.698671597626e+04 
       1.979936420020e-02       2.695475275284e+04 
       1.992837493607e-02       2.692046919652e+04 
       2.005745513151e-02       2.688501327826e+04 
       2.018660609252e-02       2.684832856840e+04 
       2.031582915766e-02       2.681050246845e+04 
       2.044512569877e-02       2.677145153102e+04 
       2.057449712164e-02       2.673127102570e+04 
       2.070394486674e-02       2.668995589949e+04 
       2.083347040999e-02       2.664756983856e+04 
       2.096307526349e-02       2.660404077956e+04 
       2.109276097634e-02       2.655942152363e+04 
       2.122252913544e-02       2.651372232616e+04 
       2.135238136637e-02       2.646688794360e+04 
       2.148231933421e-02       2.641966515353e+04 
       2.161234474451e-02       2.637094999013e+04 
       2.174245934413e-02       2.632140026219e+04 
       2.187266492227e-02       2.627097496871e+04 
       2.200296331143e-02       2.621912009244e+04 
       2.213335638843e-02       2.616733655393e+04 
       2.226384607545e-02       2.611429897222e+04 
       2.239443434111e-02       2.606032153086e+04 
       2.252512320163e-02       2.600511672536e+04 
       2.265591472192e-02       2.594989336921e+04 
       2.278681101681e-02       2.589087051559e+04 
       2.291781425226e-02       2.583361479783e+04 
       2.304892664663e-02       2.577635255857e+04 
       2.318015047198e-02       2.571722699572e+04 
       2.331148805541e-02       2.565652867018e+04 
       2.344294178047e-02       2.559663051214e+04 
       2.357451408856e-02       2.553356128299e+04 
       2.370620748045e-02       2.547145712557e+04 
       2.383802451775e-02       2.540952012046e+04 
       2.396996782454e-02       2.534601686894e+04 
       2.410204008898e-02       2.528191184875e+04 
       2.423424406497e-02       2.521709971017e+04 
       2.436658257389e-02       2.515158634307e+04 
       2.449905850643e-02       2.508491494483e+04 
       2.463167482438e-02       2.501883825832e+04 
       2.476443456259e-02       2.495121889099e+04 
       2.489734083091e-02       2.488401608137e+04 
       2.503039681626e-02       2.481490307194e+04 
       2.516360578473e-02       2.474663032775e+04 
       2.529697108375e-02       2.467730687516e+04 
       2.543049614438e-02       2.460735994149e+04 
       2.556418448359e-02       2.453566809034e+04 
       2.569803970671e-02       2.446458254955e+04 
       2.583206550995e-02       2.439412317473e+04 
       2.596626568292e-02       2.432205761827e+04 
       2.610064411137e-02       2.424904620114e+04 
       2.623520477990e-02       2.417622589177e+04 
       2.636995177488e-02       2.410274693091e+04 
       2.650488928740e-02       2.402883210349e+04 
       2.664002161635e-02       2.395460314527e+04 
       2.677535317159e-02       2.387988557357e+04 
       2.691088847730e-02       2.380489331652e+04 
       2.704663217534e-02       2.372944869280e+04 
       2.718258902890e-02       2.365356851678e+04 
       2.731876392608e-02       2.357733686757e+04 
       2.745516188379e-02       2.350076277437e+04 
